Mnemonic,indfortour,intpop,intfortour,hotelrev,indpop,indexport,indimport,indforinv,indforres,indpastra,stattourexp,indtourexp,indcrim,inddep,forbankprof
Variable,Foreign Tourist Arrivals: Total,Population: Total,International Tourism: Number of Arrivals,"NAS 2011-2012: Gross Value Added: 2011-2012p: Services: Trade, Repair, Hotel and Restaurant: Hotels and Restaurants",Population,Exports: Annual: USD,Imports: Annual: USD,Foreign Investment Inflows,Foreign Exchange Reserve: Annual,Passenger Traffic: International: To India,All States: Capital Expenditure: Outlay: Developmental: Economic Services: General: Tourism,Union Budget: Expenditure: Ministry of Tourism,IPC Crime: Incidence Rate,Indian National Departures,Foreign Banks: Operating Profit
Region,India,World,World,India,India,India,India,India,India,India,India,India,India,India,India
Subnational,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Mar"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Mar"" of each year"
Unit,Person,Person,Person,INR mn,Person mn,USD mn,USD mn,USD mn,INR mn,Person,INR mn,INR mn,%,Person,INR mn
Source,Ministry of Tourism,World Bank,World Bank,Ministry of Statistics and Programme Implementation,Ministry of Statistics and Programme Implementation,Reserve Bank of India,Reserve Bank of India,Reserve Bank of India,Reserve Bank of India,Directorate General of Civil Aviation,Reserve Bank of India,Ministry of Finance,National Crime Records Bureau,Ministry of Tourism,Reserve Bank of India
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,21448701 (IQRA),274069502,274282702,360727557 (IAZDHAAAAAAAVL),19493201 (IGDAA),20161501 (IJSD),20192001 (IJSE),21373201 (IORA),20298301 (IKLC),358880197,75031702,388328817,354097427,111914201 (IQGAAAA),356902957
SR Code,SR2088881,SR5243828,SR5242054,SR87390257,SR2088028,SR2089330,SR2089370,SR2091124,SR2128009,SR85720707,SR2318182,SR109440787,SR7169294,SR2090893,SR7355701
Trade Code,,,,,,,,,,,,,,,
Mnemonic,,,,,,,,,,,,,,,
Function Description,,,,,,,,,,,,,,,
First Obs. Date,1981,1960,1995,1951,1951,1950,1950,1991,1951,1998,1991,1998,2000,1999,1990
Last Obs. Date,2022,2021,2019,2021,2023,2022,2022,2022,2022,2022,2023,2024,2021,2019,2022
Last Update Time,30/01/2023,23/12/2022,16/02/2022,31/01/2022,06/01/2023,15/09/2022,15/09/2022,19/07/2022,20/04/2022,13/01/2023,18/01/2023,07/02/2023,02/09/2022,10/05/2022,13/01/2023
